Date,Adj Close,Close,High,Low,Open,Volume,SMA_20,SMA_50,EMA_12,EMA_26,MACD,Signal_Line,RSI_14,BB_Mid,BB_Upper,BB_Lower,Daily_Return_%
2007-09-17,4494.64990234375,4494.64990234375,4549.0498046875,4482.85009765625,4518.4501953125,0,,,4494.64990234375,4494.64990234375,0.0,0.0,,,,,
2007-09-18,4546.2001953125,4546.2001953125,4551.7998046875,4481.5498046875,4494.10009765625,0,,,4502.580716646635,4498.468442563657,4.1122740829778195,0.822454816595564,,,,,1.1469256580333154
2007-09-19,4732.35009765625,4732.35009765625,4739.0,4550.25,4550.25,0,,,4537.929852186576,4515.793009607552,22.136842579023323,5.085332369081116,,,,,4.094626156931791
2007-09-20,4747.5498046875,4747.5498046875,4760.85009765625,4721.14990234375,4734.85009765625,0,,,4570.179075648256,4532.960179613474,37.21889603478212,11.512045102221318,,,,,0.32118728998469237
2007-09-21,4837.5498046875,4837.5498046875,4855.7001953125,4733.7001953125,4752.9501953125,0,,,4611.313033961986,4555.522374063402,55.790659898583726,20.3677680614938,,,,,1.8957147097464544
2007-09-24,4932.2001953125,4932.2001953125,4941.14990234375,4837.14990234375,4837.14990234375,0,,,4660.680289554372,4583.424434896669,77.25585465770382,31.745385380735804,,,,,1.9565770781994951
2007-09-25,4938.85009765625,4938.85009765625,4953.89990234375,4878.14990234375,4939.10009765625,0,,,4703.475644646969,4609.752261767749,93.72338287922048,44.14098488043274,,,,,0.13482628604715163
2007-09-26,4940.5,4940.5,4980.85009765625,4930.35009765625,4937.60009765625,0,,,4739.940930085897,4634.252094229397,105.68883585650019,56.450555075646236,,,,,0.03340660905122306
2007-09-27,5000.5498046875,5000.5498046875,5016.39990234375,4942.7001953125,4942.7001953125,0,,,4780.034603101529,4661.385257967034,118.64934513449498,68.89031308741599,,,,,1.2154600685659434
2007-09-28,5021.35009765625,5021.35009765625,5055.7998046875,4996.4501953125,4996.4501953125,0,,,4817.1600638022555,4688.049320166235,129.11074363602074,80.93439919713694,,,,,0.4159601200102392
2007-10-01,5068.9501953125,5068.9501953125,5089.2998046875,5001.35009765625,5021.5,0,,,4855.897007111524,4716.264199806699,139.63280730482438,92.67408081867443,,,,,0.947954170303067
